analysis,test,permutation,statistic
panel_g_domain_permutation,immune_vs_tumor_core,0,0.0028450014405070542
panel_g_domain_permutation,immune_vs_tumor_core,1,-0.009267262076250844
panel_g_domain_permutation,immune_vs_tumor_core,2,0.020743301642178053
panel_g_domain_permutation,immune_vs_tumor_core,3,0.027777777777777776
panel_g_domain_permutation,immune_vs_tumor_core,4,0.0065903197925669815
panel_g_domain_permutation,immune_vs_tumor_core,5,0.0015125324114088207
panel_g_domain_permutation,immune_vs_tumor_core,6,0.008006818400076825
panel_g_domain_permutation,immune_vs_tumor_core,7,0.007382598674733502
panel_g_domain_permutation,immune_vs_tumor_core,8,-0.02075530586766542
panel_g_domain_permutation,immune_vs_tumor_core,9,-0.017550177662537213
panel_g_domain_permutation,immune_vs_tumor_core,10,-0.03224334965908
panel_g_domain_permutation,immune_vs_tumor_core,11,0.0015965619898204164
panel_g_domain_permutation,immune_vs_tumor_core,12,-0.036072697589551526
panel_g_domain_permutation,immune_vs_tumor_core,13,-0.025208873523480266
panel_g_domain_permutation,immune_vs_tumor_core,14,0.016913953711706523
panel_g_domain_permutation,immune_vs_tumor_core,15,-0.0029410352444060317
panel_g_domain_permutation,immune_vs_tumor_core,16,-0.014969269182752327
panel_g_domain_permutation,immune_vs_tumor_core,17,-0.01692595793719389
panel_g_domain_permutation,immune_vs_tumor_core,18,-0.00989148180159416
panel_g_domain_permutation,immune_vs_tumor_core,19,-0.022711994622106976
panel_g_domain_permutation,immune_vs_tumor_core,20,-0.005353884567367712
panel_g_domain_permutation,immune_vs_tumor_core,21,-0.009267262076250844
panel_g_domain_permutation,immune_vs_tumor_core,22,-0.00989148180159416
panel_g_domain_permutation,immune_vs_tumor_core,23,-0.012472390281379045
panel_g_domain_permutation,immune_vs_tumor_core,24,0.009879477576106785
panel_g_domain_permutation,immune_vs_tumor_core,25,0.01058772687986171
panel_g_domain_permutation,immune_vs_tumor_core,26,-0.0009843464899644619
panel_g_domain_permutation,immune_vs_tumor_core,27,0.015581484682608275
panel_g_domain_permutation,immune_vs_tumor_core,28,-0.016301738211850568
panel_g_domain_permutation,immune_vs_tumor_core,29,-0.005521943724190917
panel_g_domain_permutation,immune_vs_tumor_core,30,0.01441707481033324
panel_g_domain_permutation,immune_vs_tumor_core,31,0.016913953711706523
panel_g_domain_permutation,immune_vs_tumor_core,32,-0.0022327859406511066
panel_g_domain_permutation,immune_vs_tumor_core,33,-0.01888264669163546
panel_g_domain_permutation,immune_vs_tumor_core,34,0.0035532507442619723
panel_g_domain_permutation,immune_vs_tumor_core,35,0.018786612887736483
panel_g_domain_permutation,immune_vs_tumor_core,36,-0.012472390281379045
panel_g_domain_permutation,immune_vs_tumor_core,37,0.01246038605589167
panel_g_domain_permutation,immune_vs_tumor_core,38,0.0034692211658503766
panel_g_domain_permutation,immune_vs_tumor_core,39,-0.014969269182752327
panel_g_domain_permutation,immune_vs_tumor_core,40,-0.011848170556035723
panel_g_domain_permutation,immune_vs_tumor_core,41,-0.0041894746950926695
panel_g_domain_permutation,immune_vs_tumor_core,42,0.01112791702679343
panel_g_domain_permutation,immune_vs_tumor_core,43,-0.011764140977624127
panel_g_domain_permutation,immune_vs_tumor_core,44,0.01246038605589167
panel_g_domain_permutation,immune_vs_tumor_core,45,-0.01238836070296745
panel_g_domain_permutation,immune_vs_tumor_core,46,-0.0009843464899644619
panel_g_domain_permutation,immune_vs_tumor_core,47,0.017622203015461448
panel_g_domain_permutation,immune_vs_tumor_core,48,-0.004813694420435992
panel_g_domain_permutation,immune_vs_tumor_core,49,0.019410832613079805
panel_g_domain_permutation,immune_vs_tumor_core,50,-0.005437914145779314
panel_g_domain_permutation,immune_vs_tumor_core,51,0.007922788821665222
panel_g_domain_permutation,immune_vs_tumor_core,52,0.016205704407951597
panel_g_domain_permutation,immune_vs_tumor_core,53,-0.0016085662153077843
panel_g_domain_permutation,immune_vs_tumor_core,54,-0.01238836070296745
panel_g_domain_permutation,immune_vs_tumor_core,55,-0.0029410352444060317
panel_g_domain_permutation,immune_vs_tumor_core,56,-0.003565254969749354
panel_g_domain_permutation,immune_vs_tumor_core,57,0.009255257850763463
panel_g_domain_permutation,immune_vs_tumor_core,58,-0.004813694420435992
panel_g_domain_permutation,immune_vs_tumor_core,59,-0.02325218476903871
panel_g_domain_permutation,immune_vs_tumor_core,60,0.015041294535676562
panel_g_domain_permutation,immune_vs_tumor_core,61,-0.006686353596465952
panel_g_domain_permutation,immune_vs_tumor_core,62,0.013084605781234993
panel_g_domain_permutation,immune_vs_tumor_core,63,-0.006146163449534239
panel_g_domain_permutation,immune_vs_tumor_core,64,-0.0016085662153077843
panel_g_domain_permutation,immune_vs_tumor_core,65,0.004093440891193699
panel_g_domain_permutation,immune_vs_tumor_core,66,0.0015965619898204164
panel_g_domain_permutation,immune_vs_tumor_core,67,-0.004813694420435992
panel_g_domain_permutation,immune_vs_tumor_core,68,-0.01942283683856718
panel_g_domain_permutation,immune_vs_tumor_core,69,0.0028450014405070542
panel_g_domain_permutation,immune_vs_tumor_core,70,0.0034692211658503766
panel_g_domain_permutation,immune_vs_tumor_core,71,-0.004813694420435992
panel_g_domain_permutation,immune_vs_tumor_core,72,0.007922788821665222
panel_g_domain_permutation,immune_vs_tumor_core,73,0.0054259099202919395
panel_g_domain_permutation,immune_vs_tumor_core,74,-0.020047056563910502
panel_g_domain_permutation,immune_vs_tumor_core,75,0.010503697301450107
panel_g_domain_permutation,immune_vs_tumor_core,76,0.01682992413329492
panel_g_domain_permutation,immune_vs_tumor_core,77,-0.0233362143474503
panel_g_domain_permutation,immune_vs_tumor_core,78,-0.039277825794679734
panel_g_domain_permutation,immune_vs_tumor_core,79,0.009255257850763463
panel_g_domain_permutation,immune_vs_tumor_core,80,-0.01942283683856718
panel_g_domain_permutation,immune_vs_tumor_core,81,-0.018258426966292138
panel_g_domain_permutation,immune_vs_tumor_core,82,0.018078363583981558
panel_g_domain_permutation,immune_vs_tumor_core,83,0.015581484682608275
panel_g_domain_permutation,immune_vs_tumor_core,84,0.008547008547008544
panel_g_domain_permutation,immune_vs_tumor_core,85,0.0028450014405070542
panel_g_domain_permutation,immune_vs_tumor_core,86,-0.0112239508306924
panel_g_domain_permutation,immune_vs_tumor_core,87,-0.008643042350907522
panel_g_domain_permutation,immune_vs_tumor_core,88,0.0035532507442619723
panel_g_domain_permutation,immune_vs_tumor_core,89,0.013708825506578315
panel_g_domain_permutation,immune_vs_tumor_core,90,-0.005521943724190917
panel_g_domain_permutation,immune_vs_tumor_core,91,0.004093440891193699
panel_g_domain_permutation,immune_vs_tumor_core,92,-0.004729664842024389
panel_g_domain_permutation,immune_vs_tumor_core,93,0.0034692211658503766
panel_g_domain_permutation,immune_vs_tumor_core,94,0.016997983290118125
panel_g_domain_permutation,immune_vs_tumor_core,95,-0.008643042350907522
panel_g_domain_permutation,immune_vs_tumor_core,96,-0.004105445116681067
panel_g_domain_permutation,immune_vs_tumor_core,97,-0.017550177662537213
panel_g_domain_permutation,immune_vs_tumor_core,98,0.017538173437049845
panel_g_domain_permutation,immune_vs_tumor_core,99,0.005341880341880344
panel_g_domain_permutation,immune_vs_tumor_core,100,0.000972342264477094
panel_g_domain_permutation,immune_vs_tumor_core,101,0.018786612887736483
panel_g_domain_permutation,immune_vs_tumor_core,102,-0.0112239508306924
panel_g_domain_permutation,immune_vs_tumor_core,103,-0.012472390281379045
panel_g_domain_permutation,immune_vs_tumor_core,104,0.014333045231921637
panel_g_domain_permutation,immune_vs_tumor_core,105,0.00018006338231057323
panel_g_domain_permutation,immune_vs_tumor_core,106,-0.009267262076250844
panel_g_domain_permutation,immune_vs_tumor_core,107,-0.004813694420435992
panel_g_domain_permutation,immune_vs_tumor_core,108,-0.005437914145779314
panel_g_domain_permutation,immune_vs_tumor_core,109,-0.022711994622106976
panel_g_domain_permutation,immune_vs_tumor_core,110,-0.007934793047152597
panel_g_domain_permutation,immune_vs_tumor_core,111,0.02394842984730626
panel_g_domain_permutation,immune_vs_tumor_core,112,-0.0029410352444060317
panel_g_domain_permutation,immune_vs_tumor_core,113,0.006050129645635255
panel_g_domain_permutation,immune_vs_tumor_core,114,-0.010515701526937482
panel_g_domain_permutation,immune_vs_tumor_core,115,-0.0080188226255642
panel_g_domain_permutation,immune_vs_tumor_core,116,-0.008102852203975795
panel_g_domain_permutation,immune_vs_tumor_core,117,-0.0016085662153077843
panel_g_domain_permutation,immune_vs_tumor_core,118,-0.002857005665994429
panel_g_domain_permutation,immune_vs_tumor_core,119,0.03277153558052434
panel_g_domain_permutation,immune_vs_tumor_core,120,-0.02912225103236339
panel_g_domain_permutation,immune_vs_tumor_core,121,0.0015965619898204164
panel_g_domain_permutation,immune_vs_tumor_core,122,-0.007934793047152597
panel_g_domain_permutation,immune_vs_tumor_core,123,-0.01318063958513397
panel_g_domain_permutation,immune_vs_tumor_core,124,0.0034692211658503766
panel_g_domain_permutation,immune_vs_tumor_core,125,-0.03482425813886488
panel_g_domain_permutation,immune_vs_tumor_core,126,-0.008643042350907522
panel_g_domain_permutation,immune_vs_tumor_core,127,-0.0016085662153077843
panel_g_domain_permutation,immune_vs_tumor_core,128,0.006050129645635255
panel_g_domain_permutation,immune_vs_tumor_core,129,0.0008883126860654983
panel_g_domain_permutation,immune_vs_tumor_core,130,0.011836166330548355
panel_g_domain_permutation,immune_vs_tumor_core,131,0.025737059444924618
panel_g_domain_permutation,immune_vs_tumor_core,132,0.009879477576106785
panel_g_domain_permutation,immune_vs_tumor_core,133,0.018870642466148085
panel_g_domain_permutation,immune_vs_tumor_core,134,0.006674349370978577
panel_g_domain_permutation,immune_vs_tumor_core,135,-0.016217708633438972
panel_g_domain_permutation,immune_vs_tumor_core,136,0.010335638144626909
panel_g_domain_permutation,immune_vs_tumor_core,137,0.004801690194948617
panel_g_domain_permutation,immune_vs_tumor_core,138,0.0034692211658503766
panel_g_domain_permutation,immune_vs_tumor_core,139,-0.01709401709401709
panel_g_domain_permutation,immune_vs_tumor_core,140,0.002220781715163739
panel_g_domain_permutation,immune_vs_tumor_core,141,-0.01309661000672236
panel_g_domain_permutation,immune_vs_tumor_core,142,0.002136752136752143
panel_g_domain_permutation,immune_vs_tumor_core,143,0.0162897339863632
panel_g_domain_permutation,immune_vs_tumor_core,144,0.00917122827235186
panel_g_domain_permutation,immune_vs_tumor_core,145,0.0061341592240468645
panel_g_domain_permutation,immune_vs_tumor_core,146,-0.0034812253913377444
panel_g_domain_permutation,immune_vs_tumor_core,147,0.02011908191683473
panel_g_domain_permutation,immune_vs_tumor_core,148,-0.0022327859406511066
panel_g_domain_permutation,immune_vs_tumor_core,149,-0.007394602900220877
panel_g_domain_permutation,immune_vs_tumor_core,150,-0.009267262076250844
panel_g_domain_permutation,immune_vs_tumor_core,151,-0.007394602900220877
panel_g_domain_permutation,immune_vs_tumor_core,152,0.013708825506578315
panel_g_domain_permutation,immune_vs_tumor_core,153,0.004801690194948617
panel_g_domain_permutation,immune_vs_tumor_core,154,-0.02067127628925381
panel_g_domain_permutation,immune_vs_tumor_core,155,0.015665514261019878
panel_g_domain_permutation,immune_vs_tumor_core,156,0.010503697301450107
panel_g_domain_permutation,immune_vs_tumor_core,157,-0.011764140977624127
panel_g_domain_permutation,immune_vs_tumor_core,158,-0.020131086142322098
panel_g_domain_permutation,immune_vs_tumor_core,159,-0.01238836070296745
panel_g_domain_permutation,immune_vs_tumor_core,160,0.011043887448381827
panel_g_domain_permutation,immune_vs_tumor_core,161,0.0015965619898204164
panel_g_domain_permutation,immune_vs_tumor_core,162,-0.00855901277249592
panel_g_domain_permutation,immune_vs_tumor_core,163,-0.0027729760875828333
panel_g_domain_permutation,immune_vs_tumor_core,164,-0.022711994622106976
panel_g_domain_permutation,immune_vs_tumor_core,165,-0.006062133871122637
panel_g_domain_permutation,immune_vs_tumor_core,166,0.000972342264477094
