file_path,file_type,file_size_mb,detected_role,readable,n_rows,n_cols,notes
visualizations/bioapp_phase7_svtuner_aware_execution_against_frozen_cta_immune_endpoint/svtuner_immune_all_dropout/inputs/baseline_anchor_output_dir.txt,txt,0.0001392364501953125,unknown,True,,,Phase7 raw output inventory
visualizations/bioapp_phase7_svtuner_aware_execution_against_frozen_cta_immune_endpoint/svtuner_immune_all_dropout/inputs/endpoint_freeze_table_path.txt,txt,0.00010776519775390625,unknown,True,,,Phase7 raw output inventory
visualizations/bioapp_phase7_svtuner_aware_execution_against_frozen_cta_immune_endpoint/svtuner_immune_all_dropout/inputs/formal_gene_intersection_used.txt,txt,0.013716697692871094,unknown,True,,,Phase7 raw output inventory
visualizations/bioapp_phase7_svtuner_aware_execution_against_frozen_cta_immune_endpoint/svtuner_immune_all_dropout/inputs/reference_expression_used_path.txt,txt,0.0001583099365234375,unknown,True,,,Phase7 raw output inventory
visualizations/bioapp_phase7_svtuner_aware_execution_against_frozen_cta_immune_endpoint/svtuner_immune_all_dropout/inputs/reference_metadata_used_path.txt,txt,0.00014972686767578125,unknown,True,,,Phase7 raw output inventory
visualizations/bioapp_phase7_svtuner_aware_execution_against_frozen_cta_immune_endpoint/svtuner_immune_all_dropout/inputs/st_coordinates_used_path.txt,txt,0.000110626220703125,unknown,True,,,Phase7 raw output inventory
visualizations/bioapp_phase7_svtuner_aware_execution_against_frozen_cta_immune_endpoint/svtuner_immune_all_dropout/inputs/st_expression_used_path.txt,txt,0.00011730194091796875,unknown,True,,,Phase7 raw output inventory
visualizations/bioapp_phase7_svtuner_aware_execution_against_frozen_cta_immune_endpoint/svtuner_immune_all_dropout/inputs/svtuner_input_manifest.csv,csv,0.002620697021484375,unknown,True,14.0,9.0,Phase7 raw output inventory
visualizations/bioapp_phase7_svtuner_aware_execution_against_frozen_cta_immune_endpoint/svtuner_immune_all_dropout/inputs/svtuner_input_manifest.json,json,0.005339622497558594,unknown,True,,,Phase7 raw output inventory
visualizations/bioapp_phase7_svtuner_aware_execution_against_frozen_cta_immune_endpoint/svtuner_immune_all_dropout/logs/run_command.txt,txt,0.00044918060302734375,unknown,True,,,Phase7 raw output inventory
visualizations/bioapp_phase7_svtuner_aware_execution_against_frozen_cta_immune_endpoint/svtuner_immune_all_dropout/logs/run_environment.txt,txt,0.00021648406982421875,unknown,True,,,Phase7 raw output inventory
visualizations/bioapp_phase7_svtuner_aware_execution_against_frozen_cta_immune_endpoint/svtuner_immune_all_dropout/logs/run_log_stderr.txt,txt,0.0,svtuner_log,True,,,Phase7 raw output inventory
visualizations/bioapp_phase7_svtuner_aware_execution_against_frozen_cta_immune_endpoint/svtuner_immune_all_dropout/logs/run_log_stdout.txt,txt,0.0009212493896484375,svtuner_log,True,,,Phase7 raw output inventory
visualizations/bioapp_phase7_svtuner_aware_execution_against_frozen_cta_immune_endpoint/svtuner_immune_all_dropout/logs/run_status.json,json,0.0024166107177734375,svtuner_log,True,,,Phase7 raw output inventory
visualizations/bioapp_phase7_svtuner_aware_execution_against_frozen_cta_immune_endpoint/svtuner_immune_all_dropout/raw_outputs/compensatory_substitution_scores.csv,csv,0.2319774627685547,unknown,True,2248.0,6.0,Phase7 raw output inventory
visualizations/bioapp_phase7_svtuner_aware_execution_against_frozen_cta_immune_endpoint/svtuner_immune_all_dropout/raw_outputs/residual_program_gene_loadings.csv,csv,0.02777862548828125,unknown,True,400.0,6.0,Phase7 raw output inventory
visualizations/bioapp_phase7_svtuner_aware_execution_against_frozen_cta_immune_endpoint/svtuner_immune_all_dropout/raw_outputs/residual_program_regions.csv,csv,0.004412651062011719,unknown,True,51.0,10.0,Phase7 raw output inventory
visualizations/bioapp_phase7_svtuner_aware_execution_against_frozen_cta_immune_endpoint/svtuner_immune_all_dropout/raw_outputs/residual_program_scores.csv,csv,1.387618064880371,unknown,True,2248.0,33.0,Phase7 raw output inventory
visualizations/bioapp_phase7_svtuner_aware_execution_against_frozen_cta_immune_endpoint/svtuner_immune_all_dropout/raw_outputs/sc_type_profiles.csv,csv,0.1814250946044922,unknown,True,4.0,2001.0,Phase7 raw output inventory
visualizations/bioapp_phase7_svtuner_aware_execution_against_frozen_cta_immune_endpoint/svtuner_immune_all_dropout/raw_outputs/spot_unsupported_scores.csv,csv,1.5028505325317383,svtuner_spot_score,True,2248.0,43.0,Phase7 raw output inventory
visualizations/bioapp_phase7_svtuner_aware_execution_against_frozen_cta_immune_endpoint/svtuner_immune_all_dropout/raw_outputs/stage3b_summary.json,json,0.0063018798828125,unknown,True,,,Phase7 raw output inventory
visualizations/bioapp_phase7_svtuner_aware_execution_against_frozen_cta_immune_endpoint/svtuner_immune_all_dropout/raw_outputs/supported_mixture_weights.csv,csv,0.17742443084716797,unknown,True,2248.0,5.0,Phase7 raw output inventory
visualizations/bioapp_phase7_svtuner_aware_execution_against_frozen_cta_immune_endpoint/svtuner_immune_all_dropout/raw_outputs/unsupported_region_residual_genes.csv,csv,0.1454477310180664,unknown,True,300.0,6.0,Phase7 raw output inventory
visualizations/bioapp_phase7_svtuner_aware_execution_against_frozen_cta_immune_endpoint/svtuner_immune_all_dropout/raw_outputs/unsupported_regions.csv,csv,0.0025205612182617188,svtuner_stage3_output,True,61.0,6.0,Phase7 raw output inventory
visualizations/bioapp_phase7_svtuner_aware_execution_against_frozen_cta_immune_endpoint/svtuner_immune_all_dropout/raw_outputs/whole_profile_unsupported_regions.csv,csv,0.0027971267700195312,svtuner_stage3_output,True,67.0,6.0,Phase7 raw output inventory
visualizations/bioapp_phase7_svtuner_aware_execution_against_frozen_cta_immune_endpoint/svtuner_immune_all_dropout/svtuner_immune_all_dropout_spot_level_raw_output_contract.csv,csv,0.5485067367553711,svtuner_spot_score,True,2248.0,19.0,Phase7 raw output inventory
visualizations/bioapp_phase7_svtuner_aware_execution_against_frozen_cta_immune_endpoint/svtuner_immune_all_dropout/svtuner_raw_output_parse_report.csv,csv,0.0038042068481445312,unknown,True,19.0,7.0,Phase7 raw output inventory
